Model ID,kutralnet_mobileoct
Model name,KutralNet Mobile Octave
Training dataset ID,imagenet
Training dataset name,ImageNet
Version,None
Using cuda,True
Epochs,100
Batch size,32
Shuffle dataset,True
Loss function,CrossEntropyLoss()
Optimizer,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)"
Scheduler,None
Model parameters,185.2500K
Model FLOPS,26.1383M
Training time (s),415219
Validation accuracy,0.0011999999405816195
Best ep,20
Model on-disk size,1.00MB
